loan_amnt,term,emp_length,home_ownership,annual_inc,purpose,addr_state,dti,delinq_2yrs,revol_util,total_acc,bad_loan,longest_credit_length,verification_status
5000,36 months,10,RENT,24000,credit_card,AZ,27.65,0,83.7,9,0,26,verified
2500,60 months,0,RENT,30000,car,GA,1,0,9.4,4,1,12,verified
2400,36 months,10,RENT,12252,small_business,IL,8.72,0,98.5,10,0,10,not verified
10000,36 months,10,RENT,49200,other,CA,20,0,21,37,0,15,verified
5000,36 months,3,RENT,36000,wedding,AZ,11.2,0,28.3,12,0,7,verified
3000,36 months,9,RENT,48000,car,CA,5.35,0,87.5,4,0,4,verified
5600,60 months,4,OWN,40000,small_business,CA,5.55,0,32.6,13,1,7,verified
5375,60 months,0,RENT,15000,other,TX,18.08,0,36.5,3,1,7,verified
6500,60 months,5,OWN,72000,debt_consolidation,AZ,16.12,0,20.6,23,0,13,not verified
12000,36 months,10,OWN,75000,debt_consolidation,CA,10.78,0,67.1,34,0,22,verified
9000,36 months,0,RENT,30000,debt_consolidation,VA,10.08,0,91.7,9,1,7,verified
3000,36 months,3,RENT,15000,credit_card,IL,12.56,0,43.1,11,0,8,verified
10000,36 months,3,RENT,1.00E+05,other,CA,7.06,0,55.5,29,1,20,verified
1000,36 months,0,RENT,28000,debt_consolidation,MO,20.31,0,81.5,23,0,4,not verified
10000,36 months,4,RENT,42000,home_improvement,CA,18.6,0,70.2,28,0,13,not verified
3600,36 months,10,MORTGAGE,110000,major_purchase,CT,10.52,0,16,42,0,18,not verified
6000,36 months,1,MORTGAGE,84000,medical,UT,18.44,2,37.73,14,0,8,verified
9200,36 months,6,RENT,77385.19,debt_consolidation,CA,9.86,0,23.1,28,0,10,not verified
21000,36 months,10,RENT,105000,debt_consolidation,FL,13.22,0,90.3,38,1,28,verified
10000,36 months,10,OWN,50000,credit_card,TX,11.18,0,82.4,21,0,26,verified
10000,36 months,5,RENT,50000,debt_consolidation,CA,16.01,0,91.8,17,0,8,not verified
6000,36 months,1,RENT,76000,major_purchase,CA,2.4,0,29.7,7,1,10,not verified
15000,36 months,2,MORTGAGE,92000,credit_card,IL,29.44,0,93.9,31,0,9,verified
15000,36 months,9,RENT,60000,debt_consolidation,NY,15.22,0,57.6,11,1,8,not verified
5000,60 months,2,RENT,50004,other,PA,13.97,3,59.5,22,1,8,not verified
4000,36 months,10,MORTGAGE,106000,debt_consolidation,FL,5.63,1,37.7,44,0,27,not verified
8500,36 months,0,RENT,25000,credit_card,MN,12.19,0,59.1,12,0,5,verified
4375,36 months,7,MORTGAGE,17108,debt_consolidation,NY,20.34,0,86.9,12,0,24,verified
31825,36 months,5,MORTGAGE,75000,debt_consolidation,NJ,14.03,0,27.4,26,0,30,verified
5000,36 months,2,RENT,24044,debt_consolidation,OR,11.93,0,29.3,16,0,6,verified
7000,36 months,7,RENT,34000,credit_card,CA,6.35,0,60.5,6,0,4,verified
12400,36 months,10,RENT,41000,credit_card,KY,11.8,0,57.2,12,0,6,not verified
10800,36 months,2,RENT,55596,moving,CA,5.5,0,13.3,18,0,11,verified
15000,36 months,1,RENT,45000,debt_consolidation,OH,8.48,0,50.4,27,0,7,verified
6000,36 months,1,RENT,36852,debt_consolidation,AZ,10.62,0,66.5,12,0,4,verified
9600,36 months,4,RENT,68004,other,SC,6.63,0,18.1,11,0,8,verified
12000,36 months,10,RENT,62300,debt_consolidation,NJ,16.7,0,21,25,0,17,not verified
3000,36 months,9,MORTGAGE,65000,other,PA,17.39,0,98.1,22,0,13,not verified
4400,36 months,10,RENT,55000,debt_consolidation,RI,20.01,0,99,11,0,7,not verified
6000,36 months,10,MORTGAGE,45600,debt_consolidation,LA,5.34,0,32.5,28,0,16,not verified
14000,36 months,6,RENT,80000,small_business,MA,10,0,13.4,40,0,12,not verified
5000,36 months,10,MORTGAGE,1.00E+05,debt_consolidation,OH,16.33,0,62.1,35,1,16,verified
10000,36 months,6,RENT,27000,other,NY,11.47,0,52.3,10,0,5,verified
10000,36 months,10,RENT,60000,credit_card,CT,12.74,0,19.5,18,0,19,not verified
11000,36 months,5,RENT,70000,debt_consolidation,CT,10.85,0,36.4,7,0,9,not verified
15000,36 months,8,MORTGAGE,80000,debt_consolidation,IL,9.12,0,63.7,28,1,19,not verified
25600,36 months,9,RENT,110000,credit_card,CA,15.71,0,62,27,0,12,verified
