ID,Town,HomePrice,lnHomePrice ,EDMathGrade4 ,EDReadingGrade4 ,AvgClassSize,PPE ,lnPPE,Preschool ,ResTaxRate ,RegionalDistrictElem ,RaceWhite ,RaceBlack ,EthnHispanicLatino ,RaceAsian ,RaceAmIndAlNative ,RaceHawaiiPI,RaceOther ,RaceTwoorMore,AgeUnder18 ,AgeOver65 ,BAPlus ,HSPlus ,Pop000s,HHIncome ,lnHHIncome,DistBoston ,DistBostonSq  
1,Abington,"395,000",12.88664104,44,56,21.0,"14,573.50",9.58696009,1,17.82,0,91.10,1.7,2.1,3.7,0,0,1.1,2.4,18.6,13.7,37.7,94.9,15.985,76989,11.25141783,22.1,488.41
2,Acton,"650,000",13.38472764,61,70,21.4,"15,198.11",9.628926357,1,19.38,1,69.60,1.7,3.1,25.1,0.1,0.1,0.5,2.9,24.6,15.5,75.7,97.1,23.209,131099,11.78370804,25,625
3,Amesbury,"390,950",12.87633495,48,63,17.2,"15,865.50",9.671902219,1,18.99,0,94.50,0.8,2.7,1.1,0.3,0,0.2,3.1,21.1,15.9,41.3,93.9,16.283,75861,11.236658,40.1,1608.01
4,Andover,"663,000",13.40453027,61,71,18.2,"17,040.23",9.743332298,1,15.64,0,84.70,4.4,3.2,7.8,0.1,0,0.7,2.2,18.7,18.7,70.3,96.4,33.201,134627,11.81026327,24.4,595.36
5,Arlington,"805,000",13.59859756,60,68,18.1,"14,222.82",9.562602996,1,12.13,0,80.60,2.7,5.1,11.8,0,0,1.1,3.9,21.9,16.3,71.1,96.6,42.844,98103,11.49377323,8.4,70.56
6,Ashby - North Middlesex,"282,000",12.54966235,46,61,19.3,"15,323.84",9.637165065,1,20.17,1,97.10,0.4,3.3,0.7,0.1,0.0,0.4,1.4,24.5,10.5,29,92,3.223,95529,11.46718515,59.6,3552.16
7,Ashland,"282,000",12.54966235,42,51,18.4,"13,760.73",9.529574162,1,16.61,0,82.90,2.7,7.1,10.3,0.1,0,1.8,2.2,23.0,14.8,60.1,95.7,16.953,103700,11.54925739,28.8,829.44
8,Attleboro,"332,500",12.71439514,57,63,21.6,"13,315.47",9.496681796,1,14.82,0,87.10,3.00,6.30,4.50,,,,,22.3,14.9,32.3,89.6,44.59,65141,11.08430943,39,1521
9,Avon,"349,500",12.76425884,33,48,13.7,"16,905.09",9.735370039,1,18.55,0,93.45,3.74,1.44,0.92,0.27,0,0.77,0.86,22.5,17.6,27,90,4.356,68021,11.12757176,21.2,449.44
10,Ayer - Ayer Shirley ,"360,000",12.79385931,41,55,19.2,"14,659.54",9.592846597,1,14.43,1,87.70,3.8,4.8,5.1,0.0,0.0,1.0,2.4,19.1,12.7,45.8,96.6,8.145,63063,11.05188951,42,1764
11,Bedford,"729,000",13.49942901,70,76,16.5,"17,852.10",9.789876427,1,16.63,0,78.80,3.7,3.6,14.7,0.2,0,0.3,2.3,25.4,17.6,70.9,96.8,13.32,117688,11.67579233,21,441
12,Bellingham,"337,000",12.72783821,41,44,18.0,"14,695.74",9.595312935,1,14.41,0,91.90,2.1,3.7,1.1,0,0,2.9,2.1,21.9,13.3,33.3,94.9,17.093,84914,11.34939426,47.2,2227.84
13,Belmont,"1,160,000",13.96393056,78,83,22.3,"13,581.74",9.516481523,1,12.15,0,78.60,1.5,5,16.2,0.3,0,0.3,3.2,25.3,16.7,72.9,96.4,24.729,114141,11.64518981,10.1,102.01
14,Beverly,"468,200",13.05665083,60,63,19.8,"3,964.08",8.285029077,1,13.6,0,93.40,2,4.5,1.8,0.1,0,0.7,1.9,16.8,17.3,49.5,94.4,39.502,73839,11.20964233,24.7,610.09
15,Billerica,"450,000",13.01700286,53,59,18.1,"15,899.20",9.674024072,1,14.19,0,85.60,3.3,4,7,0,0.1,2,1.9,18.9,15.1,34.3,92.7,40.243,100484,11.51775379,19.7,388.09
16,Boston,"615,000",13.32937755,31,35,17.7,"20,201.16",9.913495307,1,10.48,0,52.50,24.5,20,9.5,0.3,0,7.3,5.8,16.2,11.2,48.5,86.4,617.594,58516,10.9770555,0,0
17,Boxborough,"675,000",13.42246797,61,70,21.4,"15,198.11",9.628926357,1,16.44,1,72.50,0.8,3.7,21.6,0,0,1.7,3.4,21.5,11.3,70,96.4,4.996,103556,11.54786781,33.6,1128.96
18,Boxford,"687,500",13.44081711,71,74,15.4,"17,244.67",9.755258389,1,16.2,0,93.90,0,1.1,2.4,0,0,0,3.7,24.6,17.3,63.7,97.7,7.965,153578,11.94196386,25.3,640.09
19,Braintree,"498,000",13.11835536,61,71,17.7,"14,535.65",9.584359532,1,10.54,0,81.90,3.1,2.2,12.1,0.2,0,0.7,2,23.1,16.7,43,94.2,35.744,85590,11.35732373,13.1,171.61
20,Bridgewater,"390,000",12.87390202,62,60,20.3,"13,032.68",9.475215328,1,15.19,1,84.20,8.8,4.1,2.2,0.2,0.1,2,2.5,13.0,10.6,37.2,95.9,26.563,85992,11.36200955,32.2,1036.84
21,Brockton,"295,000",12.59473064,25,30,20.1,"14,662.37",9.593039627,1,16.06,0,35.30,48.1,10.9,2.1,0.1,0,10.1,4.4,25.3,12.8,18.4,81.9,93.81,49956,10.8188979,22.1,488.41
22,Brookline,"1,777,500",14.39071844,64,72,17.4,"19,527.54",9.879581056,1,9.46,0,74.10,3.2,7.8,15.9,0.1,0,2.6,4.2,18.1,15.9,83.7,97,58.732,102175,11.53444231,4.9,24.01
23,Burlington,"583,000",13.27594247,48,57,16.9,"20,605.99",9.933337089,1,10.62,0,75.40,4.9,2.2,16.3,0.1,0.2,0.4,2.6,20.5,19.7,54.8,95.9,24.498,92141,11.43107529,13.8,190.44
24,Cambridge,"1,400,000",14.15198279,50,62,15.2,"28,638.22",10.26249747,1,6.29,0,66.80,8.9,11.4,18.2,0.1,0.4,1.4,4.3,12.4,11.3,77.4,95.1,105.162,83122,11.32806469,3.4,11.56
25,Canton,"565,000",13.24458101,63,70,18.5,"15,908.46",9.674606322,1,12.42,0,81.60,6.6,3.9,7.5,0.1,0,2,2.1,22.2,18.2,55.9,96.1,21.561,93672,11.4475546,19.2,368.64
26,Carlisle,"875,000",13.68197917,80,84,17.6,"20,326.67",9.919689096,1,18.17,0,86.50,0,1.6,11.2,0.4,0,0.3,1.6,23.4,17.6,84.5,97.3,4.852,167400,12.02814144,25.8,665.64
27,Carver,"345,000",12.7512997,37,48,17.5,"14,834.36",9.604701391,1,17.63,0,93.80,1.7,1.9,1.4,0.2,0,0.2,2.7,20.6,20,20.5,90,11.509,75260,11.22870406,45.9,2106.81
28,Chelmsford,"447,500",13.01143182,65,65,17.8,"14,428.13",9.576935052,1,17.96,0,87.20,0.8,3.6,9.1,0.3,0,0.9,1.6,20.5,18.1,52.5,95.9,33.802,102160,11.53429549,30,900
29,Chelsea,"450,500",13.01811336,39,38,22.2,"14,984.46",9.614768943,1,14.1,0,50.80,6.9,66.9,3.2,0.1,0,8,31,25.9,8.9,17.5,69.8,35.177,49614,10.81202833,4.6,21.16
30,Cohasset,"992,500",13.80798229,61,82,19.2,"16,165.69",9.690646374,1,12.79,0,97.50,0.7,0.9,0.8,0.1,0,0.1,0.9,27.8,17,70.1,97.8,2.698,60461,11.00975381,21.3,453.69
31,Concord,"1,041,000",13.85569235,82,86,15.6,"19,172.98",9.861257275,1,14.29,0,83.20,4,7.1,7,0,0,3.1,2.7,23.5,19.7,71.4,95.1,17.668,138661,11.83978738,24.7,610.09
32,Danvers,"467,000",13.05408454,53,54,18.5,"15,747.81",9.664456587,1,13.54,0,93.80,1.7,3.8,1.8,0,0,0.9,1.8,20.1,21.3,42.1,94.5,26.493,79913,11.28869382,21.8,475.24
33,Dedham,"517,000",13.15579815,58,55,16.8,"19,638.73",9.885258916,1,14.55,0,83.60,8.8,9.2,3,0.2,0.1,1.9,2.4,19.2,19.2,51.3,94.4,24.729,87108,11.37490401,13.5,182.25
34,Dover,"1,221,000",14.01518075,86,80,18.1,"23,288.60",10.05571925,1,12.84,0,78.10,3.6,0.4,12.4,0,0,0,6,27.8,17.9,82.2,98.1,5.589,189265,12.15090343,19.6,384.16
35,Dracut,"360,000",12.79385931,46,61,20.3,"12,206.17",9.409696841,1,14.14,0,88.60,3.90,6.20,3.90,0.00,0.10,1.10,2.50,22.1,15.3,28.6,91.5,31.619,57676,10.96259642,32.4,1049.76
36,Dunstable,"572,450",13.25768067,72,69,18.7,"15,078.55",9.621028483,1,17.54,1,93.80,0.00,1.30,4.50,0.00,0.00,0.10,1.60,31.1,6.8,55,97,3.379,135672,11.81799549,39,1521
37,Duxbury,"680,000",13.42984808,74,69,20.6,"14,507.45",9.58241759,1,15.16,0,96.70,0.4,0.9,1.7,0,0,0,0.3,26.0,20.5,70.8,99,15.059,119428,11.69046896,34.8,1211.04
38,East Bridgewater,"372,500",12.82799232,46,58,21.2,"11,598.88",9.358663821,1,17.96,0,91.50,3.3,2.1,2.2,0,0,1.2,1.9,25.4,15.8,29.2,95.5,13.794,82823,11.32446108,27.7,767.29
39,Easton,"447,000",13.01031387,66,63,19.8,"13,433.26",9.505489,1,16.21,0,90.70,4.4,3.2,2.3,0,0,1.6,1.1,21.8,14.4,48.7,95.4,23.112,100028,11.51320543,29.8,888.04
40,Essex - Manchester Essex regional,"551,000",13.21949009,71,77,15.9,"17,448.42",9.767004379,1,15.68,1,99.00,0,0.5,0,0,0,0.3,0.8,24.2,13.6,57,99,3.504,103750,11.54973944,33.4,1115.56
41,Everett,"445,000",13.00582956,42,44,19.7,"15,057.27",9.61961621,1,13.78,0,59.20,19,26.5,6.9,1,0.1,8.8,5,24.6,10.5,20.3,81,41.667,52457,10.86774907,4.3,18.49
42,Foxboro,"450,000",13.01700286,59,53,16.8,"16,730.65",9.724997646,1,14.57,0,88.40,9.5,2.6,1.9,0,0,0,0.2,17.5,27.6,43,87.7,16.865,95665,11.46860778,30.3,918.09
43,Framingham,"452,000",13.02143746,35,37,17.0,"18,578.70",9.829771042,1,16.32,0,71.40,7.2,15.8,8.4,0.5,0,8.8,3.7,19.4,15.2,47.4,90.4,68.318,70706,11.16628571,23,529
44,Franklin,"464,950",13.04968515,63,67,18.9,"13,950.07",9.543239805,1,14.65,0,90.40,1,2.3,5.6,0,0,0.03,2.7,24.9,11.9,56.3,97.2,31.635,108815,11.59740447,37.1,1376.41
